Employee_ID,Facility_Location,Job_Role,Employment_Status,Separation_Reason,Hire_Date,Tenure_Years,Safety_Violation_Count,Annual_Salary,Shift
EMP001,Dallas Hub,CDL Class-A Driver,Terminated,Voluntary,2024-09-20,1.71,2,87200,Day
EMP002,Dallas Hub,Maintenance Tech,Active,N/A,2026-03-25,0.35,0,55600,Day
EMP003,Chicago RDC,Maintenance Tech,Active,N/A,2021-12-23,4.6,1,64000,Day
EMP004,Chicago RDC,Maintenance Tech,Active,N/A,2025-10-15,0.79,1,60600,Night
EMP005,Atlanta Depot,CDL Class-A Driver,Active,N/A,2022-02-23,4.43,1,90400,Night
EMP006,Dallas Hub,CDL Class-A Driver,Terminated,Voluntary,2026-01-02,0.45,1,67400,Night
EMP007,Chicago RDC,Warehouse Associate,Active,N/A,2024-03-06,2.4,1,47800,Night
EMP008,Atlanta Depot,Logistics Coordinator,Active,N/A,2020-12-12,5.63,0,56700,Day
EMP009,Dallas Hub,CDL Class-A Driver,Active,N/A,2023-09-13,2.88,0,84000,Weekend
EMP010,Atlanta Depot,Warehouse Associate,Active,N/A,2021-08-10,4.97,0,39200,Weekend
EMP011,Atlanta Depot,Maintenance Tech,Active,N/A,2022-03-21,4.36,0,56300,Night
EMP012,Chicago RDC,Maintenance Tech,Active,N/A,2025-07-27,1.01,0,72700,Night
EMP013,Dallas Hub,Logistics Coordinator,Active,N/A,2025-02-09,1.47,0,60500,Weekend
EMP014,Chicago RDC,Maintenance Tech,Active,N/A,2025-06-13,1.13,0,70100,Day
EMP015,Dallas Hub,Maintenance Tech,Active,N/A,2023-04-23,3.27,2,56300,Weekend
EMP016,Dallas Hub,CDL Class-A Driver,Active,N/A,2024-10-29,1.75,0,86600,Weekend
EMP017,Dallas Hub,Logistics Coordinator,Active,N/A,2022-03-10,4.39,0,55300,Day
EMP018,Dallas Hub,Logistics Coordinator,Active,N/A,2022-10-01,3.83,0,63700,Weekend
EMP019,Dallas Hub,Warehouse Associate,Terminated,Voluntary,2023-12-15,2.44,1,39900,Day
EMP020,Atlanta Depot,Logistics Coordinator,Active,N/A,2025-11-17,0.7,1,51000,Day
EMP021,Atlanta Depot,CDL Class-A Driver,Terminated,Voluntary,2024-04-16,1.67,0,88000,Weekend
EMP022,Chicago RDC,Warehouse Associate,Active,N/A,2023-11-03,2.74,0,39100,Weekend
EMP023,Dallas Hub,Maintenance Tech,Terminated,Involuntary,2024-02-26,2.39,3,60000,Day
EMP024,Chicago RDC,CDL Class-A Driver,Terminated,Voluntary,2024-10-28,0.97,3,67000,Day
EMP025,Chicago RDC,Maintenance Tech,Active,N/A,2025-10-26,0.76,0,70700,Day
EMP026,Atlanta Depot,Logistics Coordinator,Active,N/A,2022-08-03,3.99,0,57400,Night
EMP027,Dallas Hub,CDL Class-A Driver,Terminated,Voluntary,2025-01-18,0.91,0,77100,Day
EMP028,Chicago RDC,Logistics Coordinator,Active,N/A,2021-05-18,5.2,0,54500,Night
EMP029,Dallas Hub,CDL Class-A Driver,Active,N/A,2025-11-02,0.74,0,84600,Day
EMP030,Chicago RDC,Warehouse Associate,Terminated,Voluntary,2024-04-23,1.87,0,41300,Night
